"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4761714507.115687,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2720.973372,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4668199465.277123,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,26662.433682,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4740064599.892903,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2824.726888,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4784055875.220635,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,58232.292693,NaN,"ops/s"
"ayub.virtualthreads.StringBuilderReverserBenchmark.reverse","thrpt",1,1,79738008.966214,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4756604933.612541,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2758.350938,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4730500558.112695,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,26889.173990,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000365,NaN,"s/op"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000038,NaN,"s/op"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000350,NaN,"s/op"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000019,NaN,"s/op"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000352,NaN,"s/op"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000037,NaN,"s/op"
